Адрес,Широта,Долгота
"Республика Бурятия, Улан-Удэ, ул. имени Д.Ц. Дашиева, 7",,
"мкр. 148-А, стр. 2",,
"Республика Бурятия, Улан-Удэ, мкр-н Энергетик, 41",,
"Республика Бурятия, Улан-Удэ, ул. Ленина, 19",51.824117,107.5847894
"Республика Бурятия, Улан-Удэ, мкр-н Загорск, ул. Балдынова, 9",,
"Республика Бурятия, Улан-Удэ, ул. Жердева, 94",51.80848325,107.66086489158072
"Республика Бурятия, Улан-Удэ, Геологическая ул., 30",51.8101189,107.6076795
"Республика Бурятия, Улан-Удэ, ул. Маяковского, 5",51.843700850000005,107.60159003175119
"Республика Бурятия, Улан-Удэ, ул. Смолина, 81",51.8397938,107.576816
"Республика Бурятия, Улан-Удэ, Солнечная ул., 23",51.81142035,107.6149629
"Республика Бурятия, Улан-Удэ, пр-т 50 лет Октября, 17",,
"Республика Бурятия, Улан-Удэ, Тобольская ул., 163",51.8186932,107.66904191024193
"ул. Боевая/Конечная, блоки 18-22",,
"Республика Бурятия, Улан-Удэ, ул. Калашникова, 11",51.806249,107.654157
"Республика Бурятия, Улан-Удэ, ул. Борсоева, 73",51.84368945,107.57193782011629
"Республика Бурятия, Улан-Удэ, Путейская ул., 3",51.84453405,107.58074004828921
"Республика Бурятия, Улан-Удэ, ул. Чайковского, 16",51.85906145,107.71758295000001
"Республика Бурятия, Улан-Удэ, ул. Фрунзе, 14",51.82807505,107.59477969485879
"Республика Бурятия, Улан-Удэ, 105-й мкр-н, 25",,
"Республика Бурятия, Улан-Удэ, ул. Тулаева, 150",51.8193782,107.6808211
"Республика Бурятия, Улан-Удэ, ул. Трубачеева, 152А",51.81539845,107.61860015874177
"Республика Бурятия, Улан-Удэ, ул. Смолина, 46",51.8411379,107.577057
"Республика Бурятия, Улан-Удэ, мкр-н Стеклозавод, Хрустальная ул., 7",,
"Республика Бурятия, Улан-Удэ, ул. Жуковского, 23",51.8487023,107.58562975
"Республика Бурятия, Улан-Удэ, ул. Жердева, 70",51.80526865,107.65839399625605
"Республика Бурятия, Улан-Удэ, 110-й мкр-н, 3",,
"Республика Бурятия, Улан-Удэ, 105-й мкр-н, 33",,
"Республика Бурятия, Улан-Удэ, 112-й мкр-н, 31",,
"Республика Бурятия, Улан-Удэ, ул. Мира",,
"Республика Бурятия, Улан-Удэ, Солнечная ул., 5",51.81246795,107.61032445035221
"Республика Бурятия, Улан-Удэ, ул. Борсоева, 73",51.84368945,107.57193782011629
"Республика Бурятия, Улан-Удэ, ул. Жердева, 132",51.8110592,107.66419347926175
"Республика Бурятия, Улан-Удэ, ул. Антонова, 2",,
"Республика Бурятия, Улан-Удэ, ул. Цивилева, 50",51.8431894,107.58557793424758
"Республика Бурятия, Улан-Удэ, Октябрьская ул., 25",51.8442893,107.6245504191015
"Республика Бурятия, Улан-Удэ, Ключевская ул., 26",51.819591349999996,107.63364592492351
"Республика Бурятия, Улан-Удэ, Октябрьская ул., 37",51.8435609,107.63043164999999
"Республика Бурятия, Улан-Удэ, мкр-н Вагжанова, Дивизионная ул. 1-й участок, 1",,
"Республика Бурятия, Улан-Удэ, ул. Иванова, 19",51.84545785,107.6352026
"мкр. 104-й , д. 5",,
"Республика Бурятия, Улан-Удэ, 105-й мкр-н, 29",,
"Республика Бурятия, Улан-Удэ, 102-й мкр-н, ул. Ринчино, 28",,
"Республика Бурятия, Улан-Удэ, 112-й мкр-н, 30",,
"Республика Бурятия, Улан-Удэ, Комсомольская ул., 42",51.84467395,107.62510914214755
"Республика Бурятия, Улан-Удэ, ул. Революции 1905 года, 12",51.833726850000005,107.595449736649
"Республика Бурятия, Улан-Удэ, Ключевская ул., 23",51.8220155,107.63302144630887
"Республика Бурятия, Улан-Удэ, пр-т Строителей, 12",,
"Республика Бурятия, Улан-Удэ, Комсомольская ул., 6В",51.8451881,107.6250455
"мкр. 142, д. 4",32.9256796,35.15813
"Республика Бурятия, Улан-Удэ, ул. Лебедева, 3Б",51.8216053,107.62708862260965
"мкр. 148-А, стр. 3",,
"Республика Бурятия, Улан-Удэ, 105-й мкр-н, 33",,
"Республика Бурятия, Улан-Удэ, Тобольская ул., 43",51.815924249999995,107.65913630418537
"Республика Бурятия, Улан-Удэ, ул. Смолина, 79",51.839248,107.576827
"ул. Корабельная, д. 47",55.8382392,52.7399859
"Республика Бурятия, Улан-Удэ, ул. Пушкина, 3",51.835385349999996,107.6011545553796
"Республика Бурятия, Улан-Удэ, Краснофлотская ул., 26А",51.8176704,107.66968153536585
"Республика Бурятия, Улан-Удэ, пр-т Строителей, 66",,
"Республика Бурятия, Улан-Удэ, 110-й мкр-н, 6/1",,
"Республика Бурятия, Улан-Удэ, Тобольская ул., 39",51.816728850000004,107.65909214886553
"Республика Бурятия, Улан-Удэ, ул. Сенчихина, 1",51.8495962,107.57231954362355
"Республика Бурятия, Улан-Удэ, Партизанская ул., 29",51.8424457,107.5731598
"Республика Бурятия, Улан-Удэ, мкр-н Энергетик, 56А",,
"Республика Бурятия, Улан-Удэ, ул. Жердева, 132",51.8110592,107.66419347926175
"Республика Бурятия, Улан-Удэ, пр-т Строителей, 60",,
"Республика Бурятия, Улан-Удэ, ул. Гагарина, 73А",51.85010235,107.57574779029744
"Республика Бурятия, Улан-Удэ, 111-й мкр-н, 34",,
"Республика Бурятия, Улан-Удэ, 111-й мкр-н, 3",,
"Республика Бурятия, Улан-Удэ, ул. Банзарова, 30",51.8231448,107.5827563
"Республика Бурятия, Улан-Удэ, ул. Смолина, 79",51.839243,107.5769207
"Республика Бурятия, Улан-Удэ, Тобольская ул., 163",51.8186932,107.66904191024193
"Республика Бурятия, Улан-Удэ, Кабанская ул., 18",51.84786269999999,107.51308655
"Республика Бурятия, Улан-Удэ, мкр-н Аэропорт, 27",,
"Республика Бурятия, Улан-Удэ, ул. Шумяцкого, 14",51.81247785,107.67317641395552
"Республика Бурятия, Улан-Удэ, ул. Пушкина, 35",51.849668550000004,107.57975865260599
"Республика Бурятия, Улан-Удэ, 47-й квартал, Конечная ул., 7",51.80691950000001,107.63858883290443
