Адрес,Район,Количество комнат,Площадь м2,Этаж,Балкон,Высота потолков м,Санузел,Окна,Ремонт,Вид сделки,Тип дома,Количество этажей,Лифт,Год постройки,Дата публикации,Стоимость
"Республика Бурятия, Улан-Удэ, 47-й квартал, Конечная ул., 10к2",Октябрьский район,студия,27.7,4,балкон,NaN,совмещенный,во двор,требует ремонта,возможна ипотека,монолитно-кирпичный,12,1,2023,26 марта в 14:47,3950000
"Республика Бурятия, Улан-Удэ, пр-т Строителей, 58Ак2",Октябрьский район,3,72.7,1,"балкон, лоджия",2.8,раздельный,"во двор, на улицу, на солнечную сторону",евро,возможна ипотека,кирпичный,5,0,2007,7 апреля в 15:50,10000000
"Республика Бурятия, Улан-Удэ, ул. Смолина, 79",Советский район,студия,35,3,балкон,NaN,совмещенный,на улицу,косметический,возможна ипотека,монолитный,9,1,2011,31 марта в 16:58,6990000
"Республика Бурятия, Улан-Удэ, Комсомольская ул., 6В",Железнодорожный район,1,35.8,5,балкон,2.5,совмещенный,"во двор, на солнечную сторону",евро,возможна ипотека,кирпичный,9,1,2014,31 марта в 15:21,7750000
"Республика Бурятия, Улан-Удэ, ул. Тулаева, 138",Октябрьский район,1,30.9,3,балкон,2.5,совмещенный,"во двор, на солнечную сторону",косметический,возможна ипотека,панельный,5,0,1974,24 марта в 23:54,4100000
"Республика Бурятия, Улан-Удэ, Ключевская ул., 66",Октябрьский район,3,64.6,1,балкон,2.7,раздельный,"во двор, на улицу, на солнечную сторону",евро,возможна ипотека,панельный,5,0,1985,2 апреля в 15:06,8500000
"Республика Бурятия, Улан-Удэ, Тобольская ул., 49",Октябрьский район,3,57.7,4,балкон,2.6,совмещенный,на солнечную сторону,евро,возможна ипотека,кирпичный,5,0,1974,2 апреля в 22:34,8358000
"Республика Бурятия, Улан-Удэ, Комсомольская ул., 6В",Железнодорожный район,1,35,6,балкон,2.6,совмещенный,на солнечную сторону,косметический,возможна ипотека,кирпичный,10,1,2014,30 марта в 23:02,5600000
"мкр. 140Б, д. 4.4",Октябрьский район,1,39.4,16,балкон,NaN,совмещенный,"на улицу, на солнечную сторону",косметический,возможна ипотека,монолитно-кирпичный,16,1,2014,7 апреля в 20:28,4800000
"Республика Бурятия, Улан-Удэ, 102-й мкр-н",Октябрьский район,2,49.1,2,балкон,2.7,совмещенный,на улицу,косметический,возможна ипотека,кирпичный,5,0,2014,1 апреля в 14:13,5160540
"мкр. 148-А, стр. 1",Октябрьский район,3,78.2,12,балкон,NaN,раздельный,NaN,косметический,возможна ипотека,панельный,16,1,2014,31 марта в 11:05,4692000
"Республика Бурятия, Улан-Удэ, Ключевская ул., 60Б/4",Октябрьский район,1,38.7,11,лоджия,NaN,совмещенный,NaN,евро,возможна ипотека,монолитно-кирпичный,16,1,2014,1 апреля в 16:36,6150000
"Республика Бурятия, Улан-Удэ, ул. Шумяцкого, 27",Октябрьский район,3,66,4,лоджия,2.7,раздельный,"во двор, на солнечную сторону",евро,возможна ипотека,панельный,5,0,1985,26 марта в 16:48,7400000
"Республика Бурятия, Улан-Удэ, ул. Цивилева, 27",Железнодорожный район,3,58,5,балкон,NaN,раздельный,"на улицу, на солнечную сторону",евро,возможна ипотека,кирпичный,5,0,1979,2 апреля в 23:04,7600000
"Республика Бурятия, Улан-Удэ, Октябрьская ул., 37",Железнодорожный район,5,91,1,NaN,NaN,раздельный,"во двор, на улицу, на солнечную сторону",требует ремонта,возможна ипотека,кирпичный,5,0,1976,2 апреля в 20:17,6950000
"Республика Бурятия, Улан-Удэ, ул. Буйко, 19",Железнодорожный район,3,54,2,NaN,2.6,совмещенный,"во двор, на улицу",косметический,возможна ипотека,кирпичный,5,0,1976,1 апреля в 16:29,5770000
"Республика Бурятия, Улан-Удэ, ул. Тулаева, 136",Октябрьский район,3,65.3,4,балкон,NaN,раздельный,"во двор, на улицу, на солнечную сторону",косметический,возможна ипотека,кирпичный,5,0,1976,31 марта в 19:36,6000000
"Республика Бурятия, Улан-Удэ, ул. имени Д.Ц. Дашиева, 4",Октябрьский район,2,63.4,9,"балкон, лоджия",NaN,раздельный,"во двор, на улицу",косметический,возможна ипотека,кирпичный,12,1,2024,2 апреля в 12:03,6100000
"Республика Бурятия, Улан-Удэ, ул. Бабушкина, 17",Октябрьский район,2,41.7,5,балкон,NaN,совмещенный,во двор,косметический,возможна ипотека,кирпичный,5,0,2024,2 апреля в 15:12,5350000
"Республика Бурятия, Улан-Удэ, ул. Тулаева, 130",Октябрьский район,1,33.5,3,балкон,NaN,совмещенный,NaN,косметический,возможна ипотека,панельный,5,0,2024,1 апреля в 16:39,4650000
"Республика Бурятия, Улан-Удэ, Профсоюзная ул., 42",Советский район,3,57,4,балкон,2.5,совмещенный,"во двор, на солнечную сторону",евро,возможна ипотека,панельный,5,0,1969,7 апреля в 14:43,8400000
"Республика Бурятия, Улан-Удэ, ул. Павлова, 15",Октябрьский район,1,31.4,5,NaN,NaN,совмещенный,на улицу,косметический,возможна ипотека,панельный,5,0,1969,1 апреля в 13:30,4280000
"Республика Бурятия, Улан-Удэ, Октябрьская ул., 1Б",Железнодорожный район,2,42.6,4,NaN,NaN,совмещенный,на улицу,евро,возможна ипотека,кирпичный,4,0,1969,1 апреля в 11:59,5600000
"Республика Бурятия, Улан-Удэ, Октябрьская ул., 25",Железнодорожный район,1,30.9,5,балкон,2.5,совмещенный,на солнечную сторону,косметический,возможна ипотека,кирпичный,5,0,1970,2 апреля в 11:27,4300000
"Республика Бурятия, Улан-Удэ, мкр-н Восточный, ул. Камова, 9",Железнодорожный район,2,58,5,балкон,3 м,раздельный,"во двор, на солнечную сторону",евро,возможна ипотека,кирпичный,5,0,1973,30 марта в 13:06,7835000
"Республика Бурятия, Улан-Удэ, Ключевская ул., 25",Октябрьский район,3,60.8,1,"балкон, лоджия",NaN,раздельный,"во двор, на улицу",косметический,возможна ипотека,панельный,5,0,1985,20 марта в 16:21,7399000
"Республика Бурятия, Улан-Удэ, Тобольская ул., 39",Октябрьский район,3,49.5,5,балкон,NaN,совмещенный,на улицу,косметический,возможна ипотека,кирпичный,5,0,1986,7 апреля в 09:37,5900000
"Республика Бурятия, Улан-Удэ, ул. Гагарина, 31",Железнодорожный район,2,41.1,1,балкон,NaN,совмещенный,во двор,евро,возможна ипотека,кирпичный,4,0,1986,1 апреля в 14:51,5970000
"Республика Бурятия, Улан-Удэ, ул. Антонова, 4",Железнодорожный район,3,58.9,1,балкон,NaN,совмещенный,NaN,евро,возможна ипотека,панельный,5,0,1994,2 апреля в 14:31,6800000
"Республика Бурятия, Улан-Удэ, ул. Жуковского, 23",Железнодорожный район,1,30.6,4,балкон,NaN,совмещенный,во двор,косметический,возможна ипотека,кирпичный,5,0,1971,1 апреля в 11:59,4100000
"Республика Бурятия, Улан-Удэ, ул. Борсоева, 27",Советский район,3,58.3,1,NaN,NaN,раздельный,NaN,косметический,возможна ипотека,панельный,5,0,1971,1 апреля в 12:52,7299000
"Республика Бурятия, Улан-Удэ, ул. Маяковского, 5",Железнодорожный район,2,51,5,"балкон, лоджия",NaN,раздельный,"во двор, на улицу, на солнечную сторону",косметический,возможна ипотека,кирпичный,5,0,1988,2 апреля в 08:32,6700000
"Республика Бурятия, Улан-Удэ, ул. Смолина, 81",Советский район,1,33.2,10,"балкон, лоджия",NaN,совмещенный,на улицу,косметический,возможна ипотека,монолитный,10,1,2008,2 апреля в 12:02,6000000
"Республика Бурятия, Улан-Удэ, пр-т Строителей, 40",Октябрьский район,3,64.1,2,балкон,2.6,раздельный,"во двор, на улицу",косметический,возможна ипотека,панельный,5,1,1985,29 марта в 19:31,7450000
"мкр-н 140Б, д. 4.4",Октябрьский район,1,45.8,11,балкон,NaN,совмещенный,"на улицу, на солнечную сторону",косметический,возможна ипотека,монолитный,16,2,1985,1 апреля в 20:29,5650000
"Республика Бурятия, Улан-Удэ, ул. Борсоева, 25",Советский район,1,31.1,4,балкон,NaN,совмещенный,NaN,косметический,возможна ипотека,панельный,5,2,1971,29 марта в 16:24,5200000
"ул. Ключевская, д. 90Г, корп. 2",Октябрьский район,студия,32.1,15,лоджия,2.8,совмещенный,на улицу,косметический,возможна ипотека,монолитный,19,1,1971,1 апреля в 09:10,4050000
